Численные методы решения ОДУ первого порядка.
Вариант 2.
Лабораторная работа №3.
y' = f(x, y) = 2 * (2 - x) * y + 0.01 * exp(-x * x)
x = [1, 6]
y(А) = 10

По методу Хойна. Время работы этого метода: 0

x		y
1		10
1.00625		10.1254
1.0125		10.2516
1.01875		10.3785
1.025		10.5062
1.03125		10.6347
1.0375		10.7638
1.04375		10.8937
1.05		11.0243
1.05625		11.1555
1.0625		11.2875
1.06875		11.4201
1.075		11.5534
1.08125		11.6873
1.0875		11.8219
1.09375		11.957
1.1		12.0928
1.10625		12.2292
1.1125		12.3661
1.11875		12.5036
1.125		12.6416
1.13125		12.7801
1.1375		12.9192
1.14375		13.0587
1.15		13.1987
1.15625		13.3392
1.1625		13.4801
1.16875		13.6215
1.175		13.7632
1.18125		13.9054
1.1875		14.0479
1.19375		14.1907
1.2		14.3339
1.20625		14.4774
1.2125		14.6212
1.21875		14.7653
1.225		14.9096
1.23125		15.0542
1.2375		15.199
1.24375		15.3439
1.25		15.4891
1.25625		15.6344
1.2625		15.7798
1.26875		15.9253
1.275		16.0709
1.28125		16.2166
1.2875		16.3623
1.29375		16.5081
1.3		16.6538
1.30625		16.7995
1.3125		16.9452
1.31875		17.0908
1.325		17.2363
1.33125		17.3817
1.3375		17.5269
1.34375		17.672
1.35		17.8168
1.35625		17.9615
1.3625		18.1059
1.36875		18.2501
1.375		18.3939
1.38125		18.5375
1.3875		18.6807
1.39375		18.8235
1.4		18.966
1.40625		19.108
1.4125		19.2496
1.41875		19.3908
1.425		19.5314
1.43125		19.6715
1.4375		19.8111
1.44375		19.9501
1.45		20.0886
1.45625		20.2264
1.4625		20.3635
1.46875		20.5
1.475		20.6358
1.48125		20.7708
1.4875		20.9052
1.49375		21.0387
1.5		21.1714
1.50625		21.3033
1.5125		21.4344
1.51875		21.5646
1.525		21.6938
1.53125		21.8222
1.5375		21.9496
1.54375		22.076
1.55		22.2014
1.55625		22.3257
1.5625		22.4491
1.56875		22.5713
1.575		22.6924
1.58125		22.8124
1.5875		22.9312
1.59375		23.0489
1.6		23.1653
1.60625		23.2805
1.6125		23.3945
1.61875		23.5072
1.625		23.6185
1.63125		23.7286
1.6375		23.8373
1.64375		23.9446
1.65		24.0505
1.65625		24.1551
1.6625		24.2581
1.66875		24.3597
1.675		24.4599
1.68125		24.5585
1.6875		24.6556
1.69375		24.7511
1.7		24.8451
1.70625		24.9374
1.7125		25.0282
1.71875		25.1173
1.725		25.2048
1.73125		25.2906
1.7375		25.3747
1.74375		25.4571
1.75		25.5378
1.75625		25.6167
1.7625		25.6939
1.76875		25.7693
1.775		25.8429
1.78125		25.9147
1.7875		25.9846
1.79375		26.0527
1.8		26.1189
1.80625		26.1833
1.8125		26.2458
1.81875		26.3063
1.825		26.365
1.83125		26.4217
1.8375		26.4764
1.84375		26.5292
1.85		26.5801
1.85625		26.6289
1.8625		26.6757
1.86875		26.7206
1.875		26.7634
1.88125		26.8042
1.8875		26.843
1.89375		26.8797
1.9		26.9144
1.90625		26.947
1.9125		26.9776
1.91875		27.006
1.925		27.0324
1.93125		27.0567
1.9375		27.0789
1.94375		27.099
1.95		27.117
1.95625		27.1329
1.9625		27.1467
1.96875		27.1584
1.975		27.1679
1.98125		27.1754
1.9875		27.1807
1.99375		27.1839
2		27.1849
2.00625		27.1839
2.0125		27.1807
2.01875		27.1754
2.025		27.1679
2.03125		27.1584
2.0375		27.1467
2.04375		27.1329
2.05		27.117
2.05625		27.099
2.0625		27.0789
2.06875		27.0567
2.075		27.0324
2.08125		27.0061
2.0875		26.9776
2.09375		26.947
2.1		26.9144
2.10625		26.8798
2.1125		26.843
2.11875		26.8043
2.125		26.7635
2.13125		26.7206
2.1375		26.6758
2.14375		26.629
2.15		26.5801
2.15625		26.5293
2.1625		26.4765
2.16875		26.4217
2.175		26.365
2.18125		26.3064
2.1875		26.2458
2.19375		26.1834
2.2		26.119
2.20625		26.0528
2.2125		25.9847
2.21875		25.9147
2.225		25.843
2.23125		25.7694
2.2375		25.694
2.24375		25.6168
2.25		25.5379
2.25625		25.4572
2.2625		25.3748
2.26875		25.2907
2.275		25.2049
2.28125		25.1174
2.2875		25.0283
2.29375		24.9375
2.3		24.8452
2.30625		24.7512
2.3125		24.6557
2.31875		24.5586
2.325		24.46
2.33125		24.3599
2.3375		24.2583
2.34375		24.1552
2.35		24.0507
2.35625		23.9448
2.3625		23.8374
2.36875		23.7287
2.375		23.6187
2.38125		23.5073
2.3875		23.3947
2.39375		23.2807
2.4		23.1655
2.40625		23.0491
