Численные методы решения ОДУ первого порядка.
Вариант 2.
Лабораторная работа №3.
y' = f(x, y) = 2 * (2 - x) * y + 0.01 * exp(-x * x)
x = [1, 6]
y(А) = 10

По методу Эйлера. Время работы этого метода: 13

x		y
1		10
1.00005		10.001
1.0001		10.002
1.00015		10.0029
1.0002		10.0039
1.00024		10.0049
1.00029		10.0059
1.00034		10.0068
1.00039		10.0078
1.00044		10.0088
1.00049		10.0098
1.00054		10.0107
1.00059		10.0117
1.00063		10.0127
1.00068		10.0137
1.00073		10.0147
1.00078		10.0156
1.00083		10.0166
1.00088		10.0176
1.00093		10.0186
1.00098		10.0195
1.00103		10.0205
1.00107		10.0215
1.00112		10.0225
1.00117		10.0235
1.00122		10.0244
1.00127		10.0254
1.00132		10.0264
1.00137		10.0274
1.00142		10.0283
1.00146		10.0293
1.00151		10.0303
1.00156		10.0313
1.00161		10.0323
1.00166		10.0332
1.00171		10.0342
1.00176		10.0352
1.00181		10.0362
1.00186		10.0371
1.0019		10.0381
1.00195		10.0391
1.002		10.0401
1.00205		10.0411
1.0021		10.042
1.00215		10.043
1.0022		10.044
1.00225		10.045
1.00229		10.046
1.00234		10.0469
1.00239		10.0479
1.00244		10.0489
1.00249		10.0499
1.00254		10.0509
1.00259		10.0518
1.00264		10.0528
1.00269		10.0538
1.00273		10.0548
1.00278		10.0558
1.00283		10.0567
1.00288		10.0577
1.00293		10.0587
1.00298		10.0597
1.00303		10.0606
1.00308		10.0616
1.00312		10.0626
1.00317		10.0636
1.00322		10.0646
1.00327		10.0655
1.00332		10.0665
1.00337		10.0675
1.00342		10.0685
1.00347		10.0695
1.00352		10.0704
1.00356		10.0714
1.00361		10.0724
1.00366		10.0734
1.00371		10.0744
1.00376		10.0753
1.00381		10.0763
1.00386		10.0773
1.00391		10.0783
1.00396		10.0793
1.004		10.0803
1.00405		10.0812
1.0041		10.0822
1.00415		10.0832
1.0042		10.0842
1.00425		10.0852
1.0043		10.0861
1.00435		10.0871
1.00439		10.0881
1.00444		10.0891
1.00449		10.0901
1.00454		10.091
1.00459		10.092
1.00464		10.093
1.00469		10.094
1.00474		10.095
1.00479		10.0959
1.00483		10.0969
1.00488		10.0979
1.00493		10.0989
1.00498		10.0999
1.00503		10.1009
1.00508		10.1018
1.00513		10.1028
1.00518		10.1038
1.00522		10.1048
1.00527		10.1058
1.00532		10.1067
1.00537		10.1077
1.00542		10.1087
1.00547		10.1097
1.00552		10.1107
1.00557		10.1117
1.00562		10.1126
1.00566		10.1136
1.00571		10.1146
1.00576		10.1156
1.00581		10.1166
1.00586		10.1175
1.00591		10.1185
1.00596		10.1195
1.00601		10.1205
1.00605		10.1215
1.0061		10.1225
1.00615		10.1234
1.0062		10.1244
1.00625		10.1254
1.0063		10.1264
1.00635		10.1274
1.0064		10.1284
1.00645		10.1293
1.00649		10.1303
1.00654		10.1313
1.00659		10.1323
1.00664		10.1333
1.00669		10.1343
1.00674		10.1352
1.00679		10.1362
1.00684		10.1372
1.00688		10.1382
1.00693		10.1392
1.00698		10.1402
1.00703		10.1411
1.00708		10.1421
1.00713		10.1431
1.00718		10.1441
1.00723		10.1451
1.00728		10.1461
1.00732		10.147
1.00737		10.148
1.00742		10.149
1.00747		10.15
1.00752		10.151
1.00757		10.152
1.00762		10.1529
1.00767		10.1539
1.00771		10.1549
1.00776		10.1559
1.00781		10.1569
1.00786		10.1579
1.00791		10.1589
1.00796		10.1598
1.00801		10.1608
1.00806		10.1618
1.00811		10.1628
1.00815		10.1638
1.0082		10.1648
1.00825		10.1657
1.0083		10.1667
1.00835		10.1677
1.0084		10.1687
1.00845		10.1697
1.0085		10.1707
1.00854		10.1717
1.00859		10.1726
1.00864		10.1736
1.00869		10.1746
1.00874		10.1756
1.00879		10.1766
1.00884		10.1776
1.00889		10.1785
1.00894		10.1795
1.00898		10.1805
1.00903		10.1815
1.00908		10.1825
1.00913		10.1835
1.00918		10.1845
1.00923		10.1854
1.00928		10.1864
1.00933		10.1874
1.00937		10.1884
1.00942		10.1894
1.00947		10.1904
1.00952		10.1914
1.00957		10.1923
1.00962		10.1933
1.00967		10.1943
1.00972		10.1953
1.00977		10.1963
1.00981		10.1973
1.00986		10.1983
1.00991		10.1992
1.00996		10.2002
1.01001		10.2012
1.01006		10.2022
1.01011		10.2032
1.01016		10.2042
1.01021		10.2052
1.01025		10.2062
1.0103		10.2071
1.01035		10.2081
1.0104		10.2091
1.01045		10.2101
1.0105		10.2111
1.01055		10.2121
1.0106		10.2131
1.01064		10.214
1.01069		10.215
1.01074		10.216
1.01079		10.217
1.01084		10.218
1.01089		10.219
1.01094		10.22
1.01099		10.221
1.01104		10.2219
1.01108		10.2229
1.01113		10.2239
1.01118		10.2249
1.01123		10.2259
1.01128		10.2269
1.01133		10.2279
1.01138		10.2289
1.01143		10.2298
1.01147		10.2308
1.01152		10.2318
1.01157		10.2328
1.01162		10.2338
1.01167		10.2348
