Численные методы решения ОДУ первого порядка.
Вариант 2.
Лабораторная работа №3.
y' = f(x, y) = 2 * (2 - x) * y + 0.01 * exp(-x * x)
x = [1, 6]
y(А) = 10

По методу Рунге-Кутты 4-го порядка. Время работы этого метода: 1

x		y
1		10
1.25		15.4875
1.5		21.1686
1.75		25.5343
2		27.1812
2.25		25.5344
2.5		21.1686
2.75		15.4875
3		10.0009
3.25		5.70212
3.5		2.8733
3.75		1.28216
4		0.508592
4.25		0.18053
4.5		0.0579702
4.75		0.0171223
5		0.00476358
5.25		0.00128795
5.5		0.000351409
5.75		0.000100794
6		3.16295e-05
