Численные методы решения ОДУ первого порядка.
Вариант 2.
Лабораторная работа №3.
y' = f(x, y) = 2 * (2 - x) * y + 0.01 * exp(-x * x)
x = [1, 6]
y(А) = 10

По методу Хойна. Время работы этого метода: 1

x		y
1		10
1.0625		11.2844
1.125		12.6352
1.1875		14.0382
1.25		15.4761
1.3125		16.929
1.375		18.3747
1.4375		19.789
1.5		21.1466
1.5625		22.4219
1.625		23.5893
1.6875		24.6245
1.75		25.5053
1.8125		26.2121
1.875		26.7289
1.9375		27.0437
2		27.1494
2.0625		27.0433
2.125		26.7281
2.1875		26.211
2.25		25.5039
2.3125		24.6228
2.375		23.5873
2.4375		22.4198
2.5		21.1444
2.5625		19.7868
2.625		18.3726
2.6875		16.9271
2.75		15.4745
2.8125		14.037
2.875		12.6345
2.9375		11.2842
3		10.0004
3.0625		8.79431
3.125		7.67409
3.1875		6.64504
3.25		5.70977
3.3125		4.8685
3.375		4.11938
3.4375		3.45889
3.5		2.88212
3.5625		2.38324
3.625		1.95573
3.6875		1.59273
3.75		1.28729
3.8125		1.03256
3.875		0.822006
3.9375		0.649467
4		0.509299
4.0625		0.396398
4.125		0.306226
4.1875		0.234809
4.25		0.178715
4.3125		0.135018
4.375		0.101255
4.4375		0.0753792
4.5		0.0557062
4.5625		0.0408685
4.625		0.0297658
4.6875		0.0215232
4.75		0.0154514
4.8125		0.0110133
4.875		0.00779412
4.9375		0.00547691
5		0.00382154
5.0625		0.00264783
5.125		0.00182184
5.1875		0.00124484
5.25		0.000844736
5.3125		0.00056931
5.375		0.00038108
5.4375		0.000253363
5.5		0.000167321
5.5625		0.000109764
5.625		7.153e-05
5.6875		4.63085e-05
5.75		2.97851e-05
5.8125		1.90338e-05
5.875		1.20855e-05
5.9375		7.62499e-06
6		4.78051e-06
