Численные методы решения ОДУ первого порядка.
Вариант 2.
Лабораторная работа №3.
y' = f(x, y) = 2 * (2 - x) * y + 0.01 * exp(-x * x)
x = [1, 6]
y(А) = 10

По методу Эйлера. Время работы этого метода: 8

x		y
1		10
1.00195		10.0391
1.00391		10.0782
1.00586		10.1174
1.00781		10.1567
1.00977		10.1961
1.01172		10.2356
1.01367		10.2751
1.01563		10.3147
1.01758		10.3543
1.01953		10.3941
1.02148		10.4339
1.02344		10.4738
1.02539		10.5137
1.02734		10.5538
1.0293		10.5939
1.03125		10.6341
1.0332		10.6743
1.03516		10.7146
1.03711		10.755
1.03906		10.7955
1.04102		10.836
1.04297		10.8766
1.04492		10.9173
1.04688		10.958
1.04883		10.9988
1.05078		11.0397
1.05273		11.0806
1.05469		11.1216
1.05664		11.1627
1.05859		11.2038
1.06055		11.2451
1.0625		11.2863
1.06445		11.3277
1.06641		11.3691
1.06836		11.4105
1.07031		11.4521
1.07227		11.4937
1.07422		11.5353
1.07617		11.577
1.07813		11.6188
1.08008		11.6607
1.08203		11.7026
1.08398		11.7446
1.08594		11.7866
1.08789		11.8287
1.08984		11.8708
1.0918		11.913
1.09375		11.9553
1.0957		11.9976
1.09766		12.04
1.09961		12.0825
1.10156		12.125
1.10352		12.1675
1.10547		12.2101
1.10742		12.2528
1.10938		12.2955
1.11133		12.3383
1.11328		12.3812
1.11523		12.424
1.11719		12.467
1.11914		12.51
1.12109		12.553
1.12305		12.5961
1.125		12.6393
1.12695		12.6825
1.12891		12.7258
1.13086		12.7691
1.13281		12.8124
1.13477		12.8558
1.13672		12.8993
1.13867		12.9428
1.14063		12.9863
1.14258		13.0299
1.14453		13.0736
1.14648		13.1173
1.14844		13.161
1.15039		13.2048
1.15234		13.2486
1.1543		13.2925
1.15625		13.3364
1.1582		13.3804
1.16016		13.4244
1.16211		13.4684
1.16406		13.5125
1.16602		13.5567
1.16797		13.6008
1.16992		13.645
1.17188		13.6893
1.17383		13.7336
1.17578		13.7779
1.17773		13.8223
1.17969		13.8667
1.18164		13.9111
1.18359		13.9556
1.18555		14.0001
1.1875		14.0446
1.18945		14.0892
1.19141		14.1338
1.19336		14.1785
1.19531		14.2232
1.19727		14.2679
1.19922		14.3126
1.20117		14.3574
1.20313		14.4022
1.20508		14.447
1.20703		14.4919
1.20898		14.5368
1.21094		14.5817
1.21289		14.6267
1.21484		14.6716
1.2168		14.7166
1.21875		14.7617
1.2207		14.8067
1.22266		14.8518
1.22461		14.8969
1.22656		14.942
1.22852		14.9872
1.23047		15.0323
1.23242		15.0775
1.23438		15.1227
1.23633		15.168
1.23828		15.2132
1.24023		15.2585
1.24219		15.3038
1.24414		15.3491
1.24609		15.3944
1.24805		15.4398
1.25		15.4851
1.25195		15.5305
1.25391		15.5759
1.25586		15.6213
1.25781		15.6667
1.25977		15.7121
1.26172		15.7575
1.26367		15.803
1.26563		15.8484
1.26758		15.8939
1.26953		15.9394
1.27148		15.9849
1.27344		16.0304
1.27539		16.0759
1.27734		16.1214
1.2793		16.1669
1.28125		16.2124
1.2832		16.2579
1.28516		16.3034
1.28711		16.349
1.28906		16.3945
1.29102		16.44
1.29297		16.4856
1.29492		16.5311
1.29688		16.5766
1.29883		16.6222
1.30078		16.6677
1.30273		16.7132
1.30469		16.7588
