Численные методы решения ОДУ первого порядка.
Вариант 2.
Лабораторная работа №3.
y' = f(x, y) = 2 * (2 - x) * y + 0.01 * exp(-x * x)
x = [1, 6]
y(А) = 10

По методу улучшенного Эйлера-Коши. Время работы этого метода: 1

x		y
1		10
1.0625		11.2865
1.125		12.6392
1.1875		14.0438
1.25		15.4828
1.3125		16.9364
1.375		18.3824
1.4375		19.7965
1.5		21.1536
1.5625		22.4279
1.625		23.5942
1.6875		24.6283
1.75		25.5079
1.8125		26.2137
1.875		26.7297
1.9375		27.0442
2		27.1499
2.0625		27.0442
2.125		26.7298
2.1875		26.2138
2.25		25.508
2.3125		24.6284
2.375		23.5944
2.4375		22.4281
2.5		21.1538
2.5625		19.7968
2.625		18.3827
2.6875		16.9369
2.75		15.4834
2.8125		14.0444
2.875		12.6399
2.9375		11.2873
3		10.0009
3.0625		8.79203
3.125		7.66898
3.1875		6.63717
3.25		5.69933
3.3125		4.85577
3.375		4.10473
3.4375		3.44271
3.5		2.86486
3.5625		2.36533
3.625		1.93759
3.6875		1.57476
3.75		1.26982
3.8125		1.01589
3.875		0.806353
3.9375		0.634999
4		0.496122
4.0625		0.384564
4.125		0.295741
4.1875		0.225638
4.25		0.170793
4.3125		0.128257
4.375		0.0955528
4.4375		0.070624
4.5		0.0517852
4.5625		0.0376704
4.625		0.0271853
4.6875		0.0194627
4.75		0.013823
4.8125		0.00973943
4.875		0.00680754
4.9375		0.00472031
5		0.00324691
5.0625		0.00221559
5.125		0.00149976
5.1875		0.00100708
5.25		0.000670839
5.3125		0.000443279
5.375		0.000290563
5.4375		0.000188932
5.5		0.000121862
5.5625		7.79698e-05
5.625		4.94857e-05
5.6875		3.11548e-05
5.75		1.94563e-05
5.8125		1.20527e-05
5.875		7.40615e-06
5.9375		4.51427e-06
6		2.72939e-06
