Численные методы решения ОДУ первого порядка.
Вариант 2.
Лабораторная работа №3.
y' = f(x, y) = 2 * (2 - x) * y + 0.01 * exp(-x * x)
x = [1, 6]
y(А) = 10

По уточненному методу Эйлера. Время работы этого метода: 514

x		y
1		10
1.00003		10.0006
1.00006		10.0012
1.00009		10.0018
1.00012		10.0024
1.00015		10.0031
1.00018		10.0037
1.00021		10.0043
1.00024		10.0049
1.00027		10.0055
1.00031		10.0061
1.00034		10.0067
1.00037		10.0073
1.0004		10.0079
1.00043		10.0085
1.00046		10.0092
1.00049		10.0098
1.00052		10.0104
1.00055		10.011
1.00058		10.0116
1.00061		10.0122
1.00064		10.0128
1.00067		10.0134
1.0007		10.014
1.00073		10.0147
1.00076		10.0153
1.00079		10.0159
1.00082		10.0165
1.00085		10.0171
1.00089		10.0177
1.00092		10.0183
1.00095		10.0189
1.00098		10.0195
1.00101		10.0202
1.00104		10.0208
1.00107		10.0214
1.0011		10.022
1.00113		10.0226
1.00116		10.0232
1.00119		10.0238
1.00122		10.0244
1.00125		10.025
1.00128		10.0257
1.00131		10.0263
1.00134		10.0269
1.00137		10.0275
1.0014		10.0281
1.00143		10.0287
1.00146		10.0293
1.0015		10.0299
1.00153		10.0305
1.00156		10.0312
1.00159		10.0318
1.00162		10.0324
1.00165		10.033
1.00168		10.0336
1.00171		10.0342
1.00174		10.0348
1.00177		10.0354
1.0018		10.036
1.00183		10.0367
1.00186		10.0373
1.00189		10.0379
1.00192		10.0385
1.00195		10.0391
1.00198		10.0397
1.00201		10.0403
1.00204		10.0409
1.00208		10.0416
1.00211		10.0422
1.00214		10.0428
1.00217		10.0434
1.0022		10.044
1.00223		10.0446
1.00226		10.0452
1.00229		10.0458
1.00232		10.0464
1.00235		10.0471
1.00238		10.0477
1.00241		10.0483
1.00244		10.0489
1.00247		10.0495
1.0025		10.0501
1.00253		10.0507
1.00256		10.0513
1.00259		10.052
1.00262		10.0526
1.00266		10.0532
1.00269		10.0538
1.00272		10.0544
1.00275		10.055
1.00278		10.0556
1.00281		10.0562
1.00284		10.0569
1.00287		10.0575
1.0029		10.0581
1.00293		10.0587
1.00296		10.0593
1.00299		10.0599
1.00302		10.0605
1.00305		10.0611
1.00308		10.0618
1.00311		10.0624
1.00314		10.063
1.00317		10.0636
1.0032		10.0642
1.00323		10.0648
1.00327		10.0654
1.0033		10.066
1.00333		10.0667
1.00336		10.0673
1.00339		10.0679
1.00342		10.0685
1.00345		10.0691
1.00348		10.0697
1.00351		10.0703
1.00354		10.0709
1.00357		10.0716
1.0036		10.0722
1.00363		10.0728
1.00366		10.0734
1.00369		10.074
1.00372		10.0746
1.00375		10.0752
1.00378		10.0758
1.00381		10.0765
1.00385		10.0771
1.00388		10.0777
1.00391		10.0783
1.00394		10.0789
1.00397		10.0795
1.004		10.0801
1.00403		10.0807
1.00406		10.0814
1.00409		10.082
1.00412		10.0826
1.00415		10.0832
1.00418		10.0838
1.00421		10.0844
1.00424		10.085
1.00427		10.0856
1.0043		10.0863
1.00433		10.0869
1.00436		10.0875
1.00439		10.0881
1.00443		10.0887
1.00446		10.0893
1.00449		10.0899
1.00452		10.0906
1.00455		10.0912
1.00458		10.0918
1.00461		10.0924
1.00464		10.093
1.00467		10.0936
1.0047		10.0942
1.00473		10.0948
1.00476		10.0955
1.00479		10.0961
1.00482		10.0967
1.00485		10.0973
1.00488		10.0979
1.00491		10.0985
1.00494		10.0991
1.00497		10.0998
1.005		10.1004
1.00504		10.101
1.00507		10.1016
1.0051		10.1022
1.00513		10.1028
1.00516		10.1034
1.00519		10.104
1.00522		10.1047
1.00525		10.1053
1.00528		10.1059
1.00531		10.1065
1.00534		10.1071
1.00537		10.1077
1.0054		10.1083
1.00543		10.109
1.00546		10.1096
1.00549		10.1102
1.00552		10.1108
