Численные методы решения ОДУ первого порядка.
Вариант 2.
Лабораторная работа №3.
y' = f(x, y) = 2 * (2 - x) * y + 0.01 * exp(-x * x)
x = [1, 6]
y(А) = 10

По методу средней точки. Время работы этого метода: 0

x		y
1		10
1.0625		11.2869
1.125		12.6406
1.1875		14.0468
1.25		15.4884
1.3125		16.9453
1.375		18.3952
1.4375		19.8138
1.5		21.1759
1.5625		22.4556
1.625		23.6271
1.6875		24.6662
1.75		25.5503
1.8125		26.2599
1.875		26.7788
1.9375		27.0951
2		27.2014
2.0625		27.0951
2.125		26.7788
2.1875		26.2599
2.25		25.5503
2.3125		24.6661
2.375		23.6269
2.4375		22.4552
2.5		21.1755
2.5625		19.8132
2.625		18.3944
2.6875		16.9444
2.75		15.4875
2.8125		14.0459
2.875		12.6398
2.9375		11.2862
3		9.99961
3.0625		8.79116
3.125		7.66906
3.1875		6.63858
3.25		5.70229
3.3125		4.86038
3.375		4.11096
3.4375		3.45043
3.5		2.87387
3.5625		2.37536
3.625		1.94836
3.6875		1.58595
3.75		1.28116
3.8125		1.0271
3.875		0.817201
3.9375		0.645297
4		0.505723
4.0625		0.393368
4.125		0.303687
4.1875		0.232705
4.25		0.17699
4.3125		0.133617
4.375		0.100129
4.4375		0.0744828
4.5		0.0549995
4.5625		0.0403164
4.625		0.0293385
4.6875		0.0211954
4.75		0.0152022
4.8125		0.0108254
4.875		0.00765374
4.9375		0.0053729
5		0.00374511
5.0625		0.00259213
5.125		0.00178158
5.1875		0.00121597
5.25		0.000824199
5.3125		0.000554815
5.375		0.000370929
5.4375		0.000246309
5.5		0.000162456
5.5625		0.000106433
5.625		6.9267e-05
5.6875		4.47821e-05
5.75		2.8763e-05
5.8125		1.83543e-05
5.875		1.1637e-05
5.9375		7.331e-06
6		4.58914e-06
