Лабораторная работа №5. Вариант 2.
Численные методы решения ДУЧП параболического типа.
Получили таблицу с коэффициентом при f(t) равном 1.
Неявный метод с невыполненным условием Куранта выглядит так:
 0,1000|     0,1000     0,0482     0,0275     0,0188     0,0147     0,0125     0,0114     0,0113     0,0130     0,0192     0,0368
 0,0900|     0,0900     0,0461     0,0274     0,0190     0,0149     0,0127     0,0115     0,0114     0,0130     0,0184     0,0331
 0,0800|     0,0800     0,0440     0,0272     0,0192     0,0151     0,0128     0,0116     0,0115     0,0129     0,0176     0,0294
 0,0700|     0,0700     0,0420     0,0271     0,0194     0,0152     0,0130     0,0118     0,0116     0,0129     0,0169     0,0258
 0,0600|     0,0600     0,0399     0,0270     0,0196     0,0154     0,0131     0,0119     0,0117     0,0128     0,0161     0,0221
 0,0500|     0,0500     0,0241     0,0138     0,0094     0,0073     0,0063     0,0057     0,0056     0,0065     0,0096     0,0184
 0,0400|     0,0400     0,0204     0,0124     0,0089     0,0072     0,0062     0,0057     0,0055     0,0060     0,0082     0,0147
 0,0300|     0,0300     0,0166     0,0110     0,0084     0,0070     0,0062     0,0056     0,0053     0,0055     0,0068     0,0110
 0,0200|     0,0200     0,0128     0,0096     0,0079     0,0069     0,0061     0,0055     0,0051     0,0050     0,0054     0,0074
 0,0100|     0,0100     0,0090     0,0082     0,0074     0,0067     0,0061     0,0055     0,0050     0,0045     0,0041     0,0037
 0,0000|     0,0000     0,0000     0,0000     0,0000     0,0000     0,0000     0,0000     0,0000     0,0000     0,0000     0,0000
 t / x |     0,0000     0,1000     0,2000     0,3000     0,4000     0,5000     0,6000     0,7000     0,8000     0,9000     1,0000

Получили таблицу с коэффициентом при f(t) равном 1.1.
Неявный метод с невыполненным условием Куранта выглядит так:
 0,1000|     0,1000     0,0491     0,0287     0,0200     0,0159     0,0137     0,0124     0,0122     0,0137     0,0196     0,0368
 0,0900|     0,0900     0,0470     0,0285     0,0202     0,0161     0,0138     0,0125     0,0123     0,0137     0,0189     0,0331
 0,0800|     0,0800     0,0449     0,0284     0,0204     0,0163     0,0139     0,0127     0,0124     0,0136     0,0181     0,0294
 0,0700|     0,0700     0,0428     0,0283     0,0206     0,0165     0,0141     0,0128     0,0125     0,0136     0,0173     0,0258
 0,0600|     0,0600     0,0407     0,0281     0,0208     0,0166     0,0142     0,0129     0,0126     0,0135     0,0166     0,0221
 0,0500|     0,0500     0,0246     0,0144     0,0100     0,0080     0,0068     0,0062     0,0061     0,0069     0,0098     0,0184
 0,0400|     0,0400     0,0209     0,0130     0,0095     0,0078     0,0068     0,0062     0,0059     0,0064     0,0085     0,0147
 0,0300|     0,0300     0,0171     0,0116     0,0091     0,0077     0,0068     0,0061     0,0058     0,0059     0,0071     0,0110
 0,0200|     0,0200     0,0133     0,0102     0,0086     0,0075     0,0067     0,0061     0,0056     0,0054     0,0057     0,0074
 0,0100|     0,0100     0,0096     0,0089     0,0081     0,0074     0,0067     0,0060     0,0054     0,0049     0,0043     0,0037
 0,0000|     0,0000     0,0000     0,0000     0,0000     0,0000     0,0000     0,0000     0,0000     0,0000     0,0000     0,0000
 t / x |     0,0000     0,1000     0,2000     0,3000     0,4000     0,5000     0,6000     0,7000     0,8000     0,9000     1,0000
