Лабораторная работа №5. Вариант 2.
Численные методы решения ДУЧП параболического типа.
Получили таблицу с коэффициентом при f(t) равном 1.
Явный метод с выполненным условием Куранта выглядит так:
 0,1000|     0,1000     0,0935     0,0865     0,0794     0,0725     0,0659     0,0596     0,0537     0,0480     0,0425     0,0368
 0,0950|     0,0950     0,0887     0,0820     0,0752     0,0686     0,0623     0,0564     0,0508     0,0455     0,0403     0,0349
 0,0900|     0,0900     0,0840     0,0775     0,0711     0,0648     0,0588     0,0532     0,0480     0,0430     0,0381     0,0331
 0,0850|     0,0850     0,0792     0,0731     0,0669     0,0610     0,0554     0,0501     0,0452     0,0405     0,0359     0,0313
 0,0800|     0,0800     0,0745     0,0686     0,0628     0,0572     0,0519     0,0470     0,0423     0,0380     0,0337     0,0294
 0,0750|     0,0750     0,0697     0,0642     0,0587     0,0534     0,0485     0,0438     0,0396     0,0355     0,0316     0,0276
 0,0700|     0,0700     0,0650     0,0598     0,0546     0,0497     0,0450     0,0408     0,0368     0,0330     0,0294     0,0258
 0,0650|     0,0650     0,0603     0,0554     0,0505     0,0459     0,0416     0,0377     0,0340     0,0306     0,0273     0,0239
 0,0600|     0,0600     0,0556     0,0510     0,0465     0,0422     0,0383     0,0346     0,0313     0,0281     0,0251     0,0221
 0,0550|     0,0550     0,0509     0,0466     0,0425     0,0385     0,0349     0,0316     0,0285     0,0257     0,0230     0,0202
 0,0500|     0,0500     0,0462     0,0423     0,0385     0,0349     0,0316     0,0286     0,0258     0,0233     0,0208     0,0184
 0,0450|     0,0450     0,0415     0,0379     0,0345     0,0313     0,0283     0,0256     0,0231     0,0209     0,0187     0,0166
 0,0400|     0,0400     0,0368     0,0336     0,0305     0,0277     0,0250     0,0226     0,0205     0,0185     0,0166     0,0147
 0,0350|     0,0350     0,0322     0,0293     0,0266     0,0241     0,0218     0,0197     0,0178     0,0161     0,0145     0,0129
 0,0300|     0,0300     0,0275     0,0250     0,0227     0,0205     0,0186     0,0168     0,0152     0,0137     0,0124     0,0110
 0,0250|     0,0250     0,0229     0,0208     0,0188     0,0170     0,0154     0,0139     0,0126     0,0114     0,0103     0,0092
 0,0200|     0,0200     0,0183     0,0165     0,0150     0,0135     0,0123     0,0111     0,0100     0,0091     0,0082     0,0074
 0,0150|     0,0150     0,0136     0,0124     0,0112     0,0101     0,0091     0,0083     0,0075     0,0068     0,0061     0,0055
 0,0100|     0,0100     0,0091     0,0082     0,0074     0,0067     0,0061     0,0055     0,0050     0,0045     0,0041     0,0037
 0,0050|     0,0050     0,0045     0,0041     0,0037     0,0033     0,0030     0,0027     0,0025     0,0022     0,0020     0,0018
 0,0000|     0,0000     0,0000     0,0000     0,0000     0,0000     0,0000     0,0000     0,0000     0,0000     0,0000     0,0000
 t / x |     0,0000     0,1000     0,2000     0,3000     0,4000     0,5000     0,6000     0,7000     0,8000     0,9000     1,0000

Получили таблицу с коэффициентом при f(t) равном 1.1.
Явный метод с выполненным условием Куранта выглядит так:
 0,1000|     0,1000     0,0959     0,0904     0,0842     0,0776     0,0709     0,0642     0,0576     0,0510     0,0441     0,0368
 0,0950|     0,0950     0,0911     0,0859     0,0799     0,0736     0,0672     0,0609     0,0546     0,0483     0,0419     0,0349
 0,0900|     0,0900     0,0863     0,0813     0,0756     0,0696     0,0635     0,0575     0,0516     0,0457     0,0396     0,0331
 0,0850|     0,0850     0,0815     0,0767     0,0713     0,0656     0,0599     0,0542     0,0487     0,0431     0,0374     0,0313
 0,0800|     0,0800     0,0767     0,0721     0,0670     0,0616     0,0562     0,0509     0,0457     0,0405     0,0351     0,0294
 0,0750|     0,0750     0,0719     0,0676     0,0627     0,0577     0,0526     0,0476     0,0427     0,0379     0,0329     0,0276
 0,0700|     0,0700     0,0671     0,0630     0,0585     0,0537     0,0489     0,0443     0,0398     0,0353     0,0307     0,0258
 0,0650|     0,0650     0,0623     0,0585     0,0542     0,0497     0,0453     0,0410     0,0368     0,0327     0,0285     0,0239
 0,0600|     0,0600     0,0575     0,0540     0,0500     0,0458     0,0417     0,0377     0,0339     0,0301     0,0263     0,0221
 0,0550|     0,0550     0,0527     0,0494     0,0457     0,0419     0,0381     0,0345     0,0310     0,0276     0,0240     0,0202
 0,0500|     0,0500     0,0479     0,0449     0,0415     0,0380     0,0345     0,0313     0,0281     0,0250     0,0218     0,0184
 0,0450|     0,0450     0,0431     0,0404     0,0373     0,0341     0,0310     0,0280     0,0252     0,0225     0,0196     0,0166
 0,0400|     0,0400     0,0383     0,0359     0,0331     0,0302     0,0274     0,0248     0,0223     0,0199     0,0174     0,0147
 0,0350|     0,0350     0,0336     0,0314     0,0289     0,0264     0,0239     0,0216     0,0195     0,0174     0,0153     0,0129
 0,0300|     0,0300     0,0288     0,0269     0,0247     0,0225     0,0204     0,0185     0,0166     0,0149     0,0131     0,0110
 0,0250|     0,0250     0,0240     0,0224     0,0206     0,0187     0,0169     0,0153     0,0138     0,0124     0,0109     0,0092
 0,0200|     0,0200     0,0193     0,0180     0,0164     0,0149     0,0135     0,0122     0,0110     0,0099     0,0087     0,0074
 0,0150|     0,0150     0,0145     0,0135     0,0123     0,0111     0,0101     0,0091     0,0082     0,0074     0,0066     0,0055
 0,0100|     0,0100     0,0097     0,0090     0,0081     0,0074     0,0067     0,0060     0,0055     0,0049     0,0044     0,0037
 0,0050|     0,0050     0,0050     0,0045     0,0041     0,0037     0,0033     0,0030     0,0027     0,0025     0,0022     0,0018
 0,0000|     0,0000     0,0000     0,0000     0,0000     0,0000     0,0000     0,0000     0,0000     0,0000     0,0000     0,0000
 t / x |     0,0000     0,1000     0,2000     0,3000     0,4000     0,5000     0,6000     0,7000     0,8000     0,9000     1,0000
