    x         y        ÏÊÐÀ      ËÊÐÀ   
  1.000000  2.287355  3.756623  0.000000
  1.000391  2.288823  3.757770  3.756623
  1.000781  2.290291  3.758917  3.757770
  1.001172  2.291759  3.760064  3.758917
  1.001563  2.293228  3.761210  3.760064
  1.001953  2.294697  3.762356  3.761210
  1.002344  2.296167  3.763502  3.762356
  1.002734  2.297637  3.764648  3.763502
  1.003125  2.299107  3.765793  3.764648
  1.003516  2.300578  3.766938  3.765793
  1.003906  2.302050  3.768083  3.766938
  1.004297  2.303522  3.769228  3.768083
  1.004688  2.304994  3.770372  3.769228
  1.005078  2.306467  3.771516  3.770372
  1.005469  2.307940  3.772660  3.771516
  1.005859  2.309414  3.773804  3.772660
  1.006250  2.310888  3.774947  3.773804
  1.006641  2.312362  3.776090  3.774947
  1.007031  2.313838  3.777233  3.776090
  1.007422  2.315313  3.778376  3.777233
  1.007813  2.316789  3.779518  3.778376
  1.008203  2.318265  3.780660  3.779518
  1.008594  2.319742  3.781802  3.780660
  1.008984  2.321219  3.782943  3.781802
  1.009375  2.322697  3.784085  3.782943
  1.009766  2.324175  3.785226  3.784085
  1.010156  2.325654  3.786366  3.785226
  1.010547  2.327133  3.787507  3.786366
  1.010938  2.328612  3.788647  3.787507
  1.011328  2.330092  3.789787  3.788647
  1.011719  2.331573  3.790927  3.789787
  1.012109  2.333054  3.792066  3.790927
  1.012500  2.334535  3.793205  3.792066
  1.012891  2.336017  3.794344  3.793205
  1.013281  2.337499  3.795483  3.794344
  1.013672  2.338981  3.796621  3.795483
  1.014063  2.340464  3.797759  3.796621
  1.014453  2.341948  3.798897  3.797759
  1.014844  2.343432  3.800034  3.798897
  1.015234  2.344916  3.801172  3.800034
  1.015625  2.346401  3.802309  3.801172
  1.016016  2.347886  3.803445  3.802309
  1.016406  2.349372  3.804582  3.803445
  1.016797  2.350858  3.805718  3.804582
  1.017188  2.352345  3.806854  3.805718
  1.017578  2.353832  3.807989  3.806854
  1.017969  2.355319  3.809125  3.807989
  1.018359  2.356807  3.810260  3.809125
  1.018750  2.358296  3.811395  3.810260
  1.019141  2.359785  3.812529  3.811395
  1.019531  2.361274  3.813663  3.812529
  1.019922  2.362764  3.814797  3.813663
  1.020313  2.364254  3.815931  3.814797
  1.020703  2.365744  3.817064  3.815931
  1.021094  2.367235  3.818198  3.817064
  1.021484  2.368727  3.819330  3.818198
  1.021875  2.370219  3.820463  3.819330
  1.022266  2.371711  3.821595  3.820463
  1.022656  2.373204  3.822727  3.821595
  1.023047  2.374697  3.823859  3.822727
  1.023438  2.376191  3.824990  3.823859
  1.023828  2.377685  3.826122  3.824990
  1.024219  2.379180  3.827252  3.826122
  1.024609  2.380675  3.828383  3.827252
  1.025000  2.382170  3.829513  3.828383
  1.025391  2.383666  3.830643  3.829513
  1.025781  2.385162  3.831773  3.830643
  1.026172  2.386659  3.832902  3.831773
  1.026563  2.388156  3.834032  3.832902
  1.026953  2.389654  3.835160  3.834032
  1.027344  2.391152  3.836289  3.835160
  1.027734  2.392651  3.837417  3.836289
  1.028125  2.394150  3.838545  3.837417
  1.028516  2.395649  3.839673  3.838545
  1.028906  2.397149  3.840800  3.839673
  1.029297  2.398649  3.841928  3.840800
  1.029688  2.400150  3.843054  3.841928
  1.030078  2.401651  3.844181  3.843054
  1.030469  2.403153  3.845307  3.844181
  1.030859  2.404655  3.846433  3.845307
  1.031250  2.406157  3.847559  3.846433
  1.031641  2.407660  3.848684  3.847559
  1.032031  2.409164  3.849809  3.848684
  1.032422  2.410668  3.850934  3.849809
  1.032813  2.412172  3.852058  3.850934
  1.033203  2.413677  3.853183  3.852058
  1.033594  2.415182  3.854306  3.853183
  1.033984  2.416687  3.855430  3.854306
  1.034375  2.418193  3.856553  3.855430
  1.034766  2.419700  3.857676  3.856553
  1.035156  2.421207  3.858799  3.857676
  1.035547  2.422714  3.859921  3.858799
  1.035938  2.424222  3.861043  3.859921
  1.036328  2.425730  3.862165  3.861043
  1.036719  2.427239  3.863287  3.862165
  1.037109  2.428748  3.864408  3.863287
  1.037500  2.430257  3.865529  3.864408
  1.037891  2.431767  3.866649  3.865529
  1.038281  2.433278  3.867770  3.866649
  1.038672  2.434789  3.868890  3.867770
  1.039063  2.436300  3.870009  3.868890
  1.039453  2.437812  3.871129  3.870009
  1.039844  2.439324  3.872248  3.871129
  1.040234  2.440836  3.873366  3.872248
  1.040625  2.442349  3.874485  3.873366
  1.041016  2.443863  3.875603  3.874485
  1.041406  2.445377  3.876721  3.875603
  1.041797  2.446891  3.877838  3.876721
  1.042188  2.448406  3.878955  3.877838
  1.042578  2.449921  3.880072  3.878955
  1.042969  2.451437  3.881189  3.880072
  1.043359  2.452953  3.882305  3.881189
  1.043750  2.454469  3.883421  3.882305
  1.044141  2.455986  3.884537  3.883421
  1.044531  2.457504  3.885652  3.884537
  1.044922  2.459022  3.886767  3.885652
  1.045313  2.460540  3.887881  3.886767
  1.045703  2.462059  3.888996  3.887881
  1.046094  2.463578  3.890110  3.888996
  1.046484  2.465097  3.891224  3.890110
  1.046875  2.466617  3.892337  3.891224
  1.047266  2.468138  3.893450  3.892337
  1.047656  2.469659  3.894563  3.893450
  1.048047  2.471180  3.895675  3.894563
  1.048438  2.472702  3.896787  3.895675
  1.048828  2.474224  3.897899  3.896787
  1.049219  2.475746  3.899011  3.897899
  1.049609  2.477269  3.900122  3.899011
  1.050000  2.478793  3.901233  3.900122
  1.050391  2.480317  3.902343  3.901233
  1.050781  2.481841  3.903454  3.902343
  1.051172  2.483366  3.904563  3.903454
  1.051563  2.484891  3.905673  3.904563
  1.051953  2.486417  3.906782  3.905673
  1.052344  2.487943  3.907891  3.906782
  1.052734  2.489469  3.909000  3.907891
  1.053125  2.490996  3.910108  3.909000
  1.053516  2.492524  3.911216  3.910108
  1.053906  2.494052  3.912323  3.911216
  1.054297  2.495580  3.913431  3.912323
  1.054688  2.497109  3.914538  3.913431
  1.055078  2.498638  3.915644  3.914538
  1.055469  2.500167  3.916750  3.915644
  1.055859  2.501697  3.917856  3.916750
  1.056250  2.503228  3.918962  3.917856
  1.056641  2.504758  3.920067  3.918962
  1.057031  2.506290  3.921172  3.920067
  1.057422  2.507821  3.922277  3.921172
  1.057813  2.509354  3.923381  3.922277
  1.058203  2.510886  3.924485  3.923381
  1.058594  2.512419  3.925589  3.924485
  1.058984  2.513953  3.926692  3.925589
  1.059375  2.515486  3.927795  3.926692
  1.059766  2.517021  3.928897  3.927795
  1.060156  2.518555  3.930000  3.928897
  1.060547  2.520091  3.931102  3.930000
  1.060938  2.521626  3.932203  3.931102
  1.061328  2.523162  3.933305  3.932203
  1.061719  2.524699  3.934405  3.933305
  1.062109  2.526236  3.935506  3.934405
  1.062500  2.527773  3.936606  3.935506
  1.062891  2.529311  3.937706  3.936606
  1.063281  2.530849  3.938806  3.937706
  1.063672  2.532387  3.939905  3.938806
  1.064063  2.533926  3.941004  3.939905
  1.064453  2.535466  3.942102  3.941004
  1.064844  2.537006  3.943200  3.942102
  1.065234  2.538546  3.944298  3.943200
  1.065625  2.540087  3.945396  3.944298
  1.066016  2.541628  3.946493  3.945396
  1.066406  2.543170  3.947589  3.946493
  1.066797  2.544712  3.948686  3.947589
  1.067188  2.546254  3.949782  3.948686
  1.067578  2.547797  3.950878  3.949782
  1.067969  2.549340  3.951973  3.950878
